state,date,median_home_value,mortgage_rate
California,2000-01-31,187986.83492898985,8.21
Texas,2000-01-31,112895.976759613,8.21
Florida,2000-01-31,107549.75910454872,8.21
New York,2000-01-31,150045.9773378864,8.21
Pennsylvania,2000-01-31,98231.4248607932,8.21
Illinois,2000-01-31,126034.00958695088,8.21
Ohio,2000-01-31,103039.4353960336,8.21
Georgia,2000-01-31,125670.5033762191,8.21
North Carolina,2000-01-31,128752.4549186668,8.21
Michigan,2000-01-31,113899.82429258744,8.21
New Jersey,2000-01-31,167343.43898565392,8.21
Virginia,2000-01-31,123684.55251134656,8.21
Washington,2000-01-31,173367.82356729527,8.21
Arizona,2000-01-31,135677.687314964,8.21
Massachusetts,2000-01-31,193455.89960476395,8.21
Tennessee,2000-01-31,111840.299750804,8.21
Indiana,2000-01-31,96588.78746604688,8.21
Maryland,2000-01-31,151017.12580057597,8.21
Missouri,2000-01-31,96515.54580957434,8.21
Wisconsin,2000-01-31,117744.4892353172,8.21
Colorado,2000-01-31,176682.18699602378,8.21
Minnesota,2000-01-31,122954.23092504166,8.21
South Carolina,2000-01-31,113906.02846461096,8.21
Alabama,2000-01-31,99596.34661705472,8.21
Louisiana,2000-01-31,108384.854936369,8.21
Kentucky,2000-01-31,89439.19455763475,8.21
Oregon,2000-01-31,150190.5894627417,8.21
Oklahoma,2000-01-31,82670.96408980938,8.21
Connecticut,2000-01-31,159277.54384216803,8.21
Utah,2000-01-31,167774.93439762344,8.21
Iowa,2000-01-31,89130.28398467881,8.21
Nevada,2000-01-31,154526.79681587298,8.21
Arkansas,2000-01-31,88686.24899854095,8.21
Mississippi,2000-01-31,89095.49358702156,8.21
Kansas,2000-01-31,87678.60055334354,8.21
Nebraska,2000-01-31,114189.52330872211,8.21
Idaho,2000-01-31,122787.50899385872,8.21
West Virginia,2000-01-31,72317.78785629652,8.21
Hawaii,2000-01-31,192814.69668320016,8.21
New Hampshire,2000-01-31,131212.19631506238,8.21
Maine,2000-01-31,104273.2095260961,8.21
Rhode Island,2000-01-31,130292.80464864896,8.21
Delaware,2000-01-31,146615.95573398398,8.21
South Dakota,2000-01-31,106063.48103944656,8.21
Alaska,2000-01-31,134147.01396997814,8.21
District of Columbia,2000-01-31,159900.66811736298,8.21
Vermont,2000-01-31,112752.0029692764,8.21
California,2000-02-29,188618.71479171992,8.325
Texas,2000-02-29,112957.32734959248,8.325
Florida,2000-02-29,107782.72189424511,8.325
New York,2000-02-29,150580.28840891892,8.325
Pennsylvania,2000-02-29,98441.53443934434,8.325
Illinois,2000-02-29,126135.014119996,8.325
Ohio,2000-02-29,103102.4018380174,8.325
Georgia,2000-02-29,125955.87935760764,8.325
North Carolina,2000-02-29,128948.33513554024,8.325
Michigan,2000-02-29,113962.55759653848,8.325
New Jersey,2000-02-29,167794.5381757006,8.325
Virginia,2000-02-29,124004.60263351108,8.325
Washington,2000-02-29,173758.87883360335,8.325
Arizona,2000-02-29,135923.43949390476,8.325
Massachusetts,2000-02-29,194101.7845002873,8.325
Tennessee,2000-02-29,111933.59790265458,8.325
Indiana,2000-02-29,96455.98011235468,8.325
Maryland,2000-02-29,150996.1801008206,8.325
Missouri,2000-02-29,96628.66946563555,8.325
Wisconsin,2000-02-29,117710.31624684107,8.325
Colorado,2000-02-29,177309.5361968714,8.325
Minnesota,2000-02-29,123368.09938590718,8.325
South Carolina,2000-02-29,114157.48709360413,8.325
Alabama,2000-02-29,99769.77970359725,8.325
Louisiana,2000-02-29,108593.9195303205,8.325
Kentucky,2000-02-29,89485.37157470058,8.325
Oregon,2000-02-29,150520.87452754274,8.325
Oklahoma,2000-02-29,82705.0660722958,8.325
Connecticut,2000-02-29,159884.34987012605,8.325
Utah,2000-02-29,167866.85547177814,8.325
Iowa,2000-02-29,89300.60777272025,8.325
Nevada,2000-02-29,154546.11314265025,8.325
Arkansas,2000-02-29,88804.77394287853,8.325
Mississippi,2000-02-29,89046.63081439746,8.325
Kansas,2000-02-29,87695.81202825945,8.325
Nebraska,2000-02-29,114372.05998170328,8.325
Idaho,2000-02-29,122713.07331969,8.325
West Virginia,2000-02-29,72314.69226673053,8.325
Hawaii,2000-02-29,192725.488767729,8.325
New Hampshire,2000-02-29,131657.9446999418,8.325
Maine,2000-02-29,104620.12840682224,8.325
Rhode Island,2000-02-29,130885.36517580722,8.325
Delaware,2000-02-29,146844.05651275278,8.325
South Dakota,2000-02-29,105838.13118238623,8.325
Alaska,2000-02-29,134299.37663752708,8.325
District of Columbia,2000-02-29,160423.66862580454,8.325
Vermont,2000-02-29,112940.8032708666,8.325
California,2000-03-31,189471.90733579788,8.24
Texas,2000-03-31,112987.08334687194,8.24
Florida,2000-03-31,108065.11923228724,8.24
New York,2000-03-31,151094.64898068097,8.24
Pennsylvania,2000-03-31,98638.981003953,8.24
Illinois,2000-03-31,126353.3399500737,8.24
Ohio,2000-03-31,103197.8937851366,8.24
Georgia,2000-03-31,126285.1555807725,8.24
North Carolina,2000-03-31,129150.08782591246,8.24
Michigan,2000-03-31,114192.2285422824,8.24
New Jersey,2000-03-31,168224.96627430603,8.24
Virginia,2000-03-31,124343.93089177828,8.24
Washington,2000-03-31,174157.79002161638,8.24
Arizona,2000-03-31,136239.7270621384,8.24
Massachusetts,2000-03-31,194870.28560524803,8.24
Tennessee,2000-03-31,112028.75179255572,8.24
Indiana,2000-03-31,96306.816136694,8.24
Maryland,2000-03-31,151103.1804638583,8.24
Missouri,2000-03-31,96798.0339415577,8.24
Wisconsin,2000-03-31,117842.0405004472,8.24
Colorado,2000-03-31,178002.8219655523,8.24
Minnesota,2000-03-31,123753.15620479442,8.24
South Carolina,2000-03-31,114362.38771640106,8.24
Alabama,2000-03-31,99885.98324587196,8.24
Louisiana,2000-03-31,108756.38029186496,8.24
Kentucky,2000-03-31,89569.38876741113,8.24
Oregon,2000-03-31,150822.6130989415,8.24
Oklahoma,2000-03-31,82864.0263382515,8.24
Connecticut,2000-03-31,160517.95622342872,8.24
Utah,2000-03-31,168011.1713468316,8.24
Iowa,2000-03-31,89461.40056819409,8.24
Nevada,2000-03-31,154785.2788157006,8.24
Arkansas,2000-03-31,88939.25047386116,8.24
Mississippi,2000-03-31,89044.50508947257,8.24
Kansas,2000-03-31,87797.2123288294,8.24
Nebraska,2000-03-31,114541.23790579096,8.24
Idaho,2000-03-31,122760.23492291942,8.24
West Virginia,2000-03-31,72338.0676040036,8.24
Hawaii,2000-03-31,193021.4204349278,8.24
New Hampshire,2000-03-31,132190.06084938708,8.24
Maine,2000-03-31,104929.88266553891,8.24
Rhode Island,2000-03-31,131507.65120252172,8.24
Delaware,2000-03-31,147128.06251401114,8.24
South Dakota,2000-03-31,105522.77073120276,8.24
Alaska,2000-03-31,134451.65961993008,8.24
District of Columbia,2000-03-31,161165.75241686686,8.24
Vermont,2000-03-31,113237.30759007978,8.24
California,2000-04-30,191323.93395205776,8.1525
Texas,2000-04-30,113134.76500002063,8.1525
Florida,2000-04-30,108639.16038648036,8.1525
New York,2000-04-30,152200.89874293044,8.1525
Pennsylvania,2000-04-30,99041.34710032138,8.1525
Illinois,2000-04-30,126866.94858481151,8.1525
Ohio,2000-04-30,103478.6924634626,8.1525
Georgia,2000-04-30,126978.4265645122,8.1525
North Carolina,2000-04-30,129587.72504679144,8.1525
Michigan,2000-04-30,114649.73216295836,8.1525
New Jersey,2000-04-30,169178.5934709017,8.1525
Virginia,2000-04-30,124985.1484453893,8.1525
Washington,2000-04-30,174962.8947808385,8.1525
Arizona,2000-04-30,136885.56804778308,8.1525
Massachusetts,2000-04-30,196383.90872832085,8.1525
Tennessee,2000-04-30,112257.68453398177,8.1525
Indiana,2000-04-30,95853.37377351936,8.1525
Maryland,2000-04-30,151361.3755056487,8.1525
Missouri,2000-04-30,97185.16311974614,8.1525
Wisconsin,2000-04-30,118031.20912092309,8.1525
Colorado,2000-04-30,179552.9840205396,8.1525
Minnesota,2000-04-30,124657.02983278474,8.1525
South Carolina,2000-04-30,114832.09232242056,8.1525
Alabama,2000-04-30,100146.3139742173,8.1525
Louisiana,2000-04-30,109122.63894910128,8.1525
Kentucky,2000-04-30,89778.17917722497,8.1525
Oregon,2000-04-30,151455.79151747402,8.1525
Oklahoma,2000-04-30,83153.48464884235,8.1525
Connecticut,2000-04-30,161591.4101645129,8.1525
Utah,2000-04-30,168373.26237573058,8.1525
Iowa,2000-04-30,89808.70860705797,8.1525
Nevada,2000-04-30,155333.3693360441,8.1525
Arkansas,2000-04-30,89226.37959852557,8.1525
Mississippi,2000-04-30,89108.73822983156,8.1525
Kansas,2000-04-30,87948.79872084771,8.1525
Nebraska,2000-04-30,114803.8533790692,8.1525
Idaho,2000-04-30,122858.15297781496,8.1525
West Virginia,2000-04-30,72397.23196860512,8.1525
Hawaii,2000-04-30,193534.7644727213,8.1525
New Hampshire,2000-04-30,132988.8409510278,8.1525
Maine,2000-04-30,105612.28913243032,8.1525
Rhode Island,2000-04-30,132737.1868469742,8.1525
Delaware,2000-04-30,147777.57780467285,8.1525
South Dakota,2000-04-30,105097.69866583838,8.1525
Alaska,2000-04-30,134630.25196517576,8.1525
District of Columbia,2000-04-30,162756.93276422727,8.1525
Vermont,2000-04-30,113819.9210913126,8.1525
California,2000-05-31,193476.635902148,8.515
Texas,2000-05-31,113230.40595456307,8.515
Florida,2000-05-31,109258.20191178574,8.515
New York,2000-05-31,153345.47179757457,8.515
Pennsylvania,2000-05-31,99454.67782896086,8.515
Illinois,2000-05-31,127476.3612848872,8.515
Ohio,2000-05-31,103906.8406211186,8.515
Georgia,2000-05-31,127743.0768460696,8.515
North Carolina,2000-05-31,130075.27722940786,8.515
Michigan,2000-05-31,115324.41648034322,8.515
New Jersey,2000-05-31,170150.74141804688,8.515
Virginia,2000-05-31,125604.17375707028,8.515
Washington,2000-05-31,175841.61600374055,8.515
Arizona,2000-05-31,137617.6379394022,8.515
Massachusetts,2000-05-31,198022.33121657412,8.515
Tennessee,2000-05-31,112521.7661330902,8.515
Indiana,2000-05-31,95634.28025201808,8.515
Maryland,2000-05-31,151901.683746708,8.515
Missouri,2000-05-31,97685.2218174743,8.515
Wisconsin,2000-05-31,118408.61546856508,8.515
Colorado,2000-05-31,181283.233628182,8.515
Minnesota,2000-05-31,125648.59775781764,8.515
South Carolina,2000-05-31,115270.63478770413,8.515
Alabama,2000-05-31,100436.67060116908,8.515
Louisiana,2000-05-31,109510.68627456953,8.515
Kentucky,2000-05-31,90055.66742559744,8.515
Oregon,2000-05-31,152020.4519642156,8.515
Oklahoma,2000-05-31,83542.27217449743,8.515
Connecticut,2000-05-31,162473.5047224334,8.515
Utah,2000-05-31,169685.49801903998,8.515
Iowa,2000-05-31,90192.430361806,8.515
Nevada,2000-05-31,156031.78316651846,8.515
Arkansas,2000-05-31,89509.57802144164,8.515
Mississippi,2000-05-31,89421.30842290912,8.515
Kansas,2000-05-31,88177.30163493061,8.515
Nebraska,2000-05-31,114937.02817627865,8.515
Idaho,2000-05-31,123177.44610892664,8.515
West Virginia,2000-05-31,72512.65866778481,8.515
Hawaii,2000-05-31,194540.361999206,8.515
New Hampshire,2000-05-31,133863.1515668376,8.515
Maine,2000-05-31,106255.11956344228,8.515
Rhode Island,2000-05-31,133962.36374609565,8.515
Delaware,2000-05-31,148518.37890267698,8.515
South Dakota,2000-05-31,104920.8562654908,8.515
Alaska,2000-05-31,134899.1087479564,8.515
District of Columbia,2000-05-31,164522.84849326467,8.515
Vermont,2000-05-31,114490.85843834197,8.515
California,2000-06-30,195799.39505283907,8.288
Texas,2000-06-30,113337.6427474512,8.288
Florida,2000-06-30,109889.82371510948,8.288
New York,2000-06-30,154583.07179870576,8.288
Pennsylvania,2000-06-30,99879.46999778776,8.288
Illinois,2000-06-30,128161.2634130754,8.288
Ohio,2000-06-30,104438.08333654706,8.288
Georgia,2000-06-30,128553.34877218312,8.288
North Carolina,2000-06-30,130593.91322863918,8.288
Michigan,2000-06-30,116065.42268425964,8.288
New Jersey,2000-06-30,171310.99015363035,8.288
