state,pre_covid_avg,post_covid_avg,pct_change
Montana,260265.71409622664,425394.40822307416,63.45
Idaho,275023.9891057252,446735.7597802714,62.44
Florida,242676.62620598442,390680.78105489817,60.99
Maine,228728.26095987298,367356.53268168983,60.61
Georgia,205147.03849621073,323227.8974555716,57.56
Arizona,269611.694690298,423525.5976967868,57.09
New Hampshire,277985.1806434812,435117.0172381811,56.53
North Carolina,204918.41658144526,319954.1834483551,56.14
Tennessee,201696.82794702062,313546.84151072527,55.45
South Carolina,190856.91109213766,289604.3291171243,51.74
Utah,333333.90464555536,505704.32539506553,51.71
New Mexico,194098.26360888718,288598.54040381225,48.69
Indiana,153847.59281184184,225213.5706585029,46.39
Rhode Island,291008.46073676494,425058.016313352,46.06
Vermont,256152.2469024399,372944.5140466536,45.59
Oklahoma,138796.50916766853,200934.91878007507,44.77
South Dakota,202495.75445792297,291021.6285565238,43.72
Connecticut,251769.9779035584,361769.6936385845,43.69
Washington,392983.51575819036,564492.2354140725,43.64
Missouri,164835.3016670669,236668.1418127957,43.58
Texas,213239.1277495397,305657.7775411721,43.34
Kansas,149677.04957220142,213852.50202302818,42.88
Alabama,158084.31326535397,224284.42303805656,41.88
Ohio,148249.2088190816,209395.760749994,41.25
Kentucky,147344.8378047078,207669.15256992346,40.94
Wisconsin,200641.87179404756,282213.54293867416,40.66
Nebraska,176009.08286938505,247553.66838214663,40.65
New Jersey,342606.76854887506,479951.54061996914,40.09
Nevada,302736.079038187,420342.6914340186,38.85
Michigan,164658.8239068334,227290.6668601655,38.04
Delaware,269033.0319593866,370633.4202082695,37.77
Colorado,392782.7727996092,540325.2467402689,37.56
Massachusetts,419613.8367539312,575591.7240176544,37.17
Arkansas,149680.67139197452,205064.65995561634,37.0
Oregon,355000.5401520719,484098.03106428887,36.37
Pennsylvania,186177.5262618503,253503.00379943007,36.16
Hawaii,605524.8663450545,823653.5514550392,36.02
Virginia,272591.8222693109,370711.2088438305,35.99
California,536967.6540656249,730116.4657003456,35.97
Wyoming,242692.0101943469,326454.0111486274,34.51
West Virginia,116714.00168065027,154563.9341397161,32.43
Iowa,156302.86562600933,205687.00290549838,31.6
Minnesota,246372.92274828182,320303.46087406843,30.01
New York,337015.5084178072,436144.43010701536,29.41
Illinois,190973.69829386324,245951.3512669328,28.79
Maryland,312139.4184323296,401930.27913298056,28.77
Mississippi,142449.23956627,182278.73207459008,27.96
Alaska,301079.4167370843,353925.9282788187,17.55
North Dakota,218084.29532467993,254876.18484899108,16.87
Louisiana,187078.79197297167,212905.62355931048,13.81
District of Columbia,564977.7101239957,611692.0861937257,8.27
