date,median_home_value
2000-01-31,126142.61697870423
2000-02-29,126350.6984760052
2000-03-31,126611.05551503309
2000-04-30,127150.86027715795
2000-05-31,127798.70709039751
2000-06-30,128492.13857221366
2000-07-31,129232.9907222365
2000-08-31,130002.01180838788
2000-09-30,130796.10551537726
2000-10-31,131589.6683818198
2000-11-30,132381.8924836062
2000-12-31,133187.29114817298
2001-01-31,134019.0976403452
2001-02-28,134804.00518018767
2001-03-31,135543.49460953075
2001-04-30,136260.06273366362
2001-05-31,137025.35637559442
2001-06-30,137850.30882872533
2001-07-31,138714.23066702663
2001-08-31,139602.16873719916
2001-09-30,140491.3298297281
2001-10-31,141392.53868031237
2001-11-30,142239.2524123465
2001-12-31,143039.95268322297
2002-01-31,143734.2665688746
2002-02-28,144408.97977851285
2002-03-31,145088.19634533496
2002-04-30,145465.0660177647
2002-05-31,146221.11365983784
2002-06-30,147052.84995531314
2002-07-31,147951.5946970534
2002-08-31,148899.91072607852
2002-09-30,149887.01799943444
2002-10-31,150893.18946858126
2002-11-30,151894.13091745068
2002-12-31,152855.3542563751
2003-01-31,153743.49633663212
2003-02-28,154613.8512613491
2003-03-31,155490.77272154047
2003-04-30,156413.15383590263
2003-05-31,157428.6610501709
2003-06-30,158507.46666997613
2003-07-31,159656.7083399789
2003-08-31,160842.43388488388
2003-09-30,162081.40090806218
2003-10-31,163353.22231269005
2003-11-30,164537.3775567772
2003-12-31,165640.32278803995
2004-01-31,166675.48061794168
2004-02-29,167791.87409389182
2004-03-31,169012.85124571744
2004-04-30,170371.37263094442
2004-05-31,171927.2484011234
2004-06-30,173674.8745680821
2004-07-31,175558.73260156778
2004-08-31,177460.44151486628
2004-09-30,179306.2204080772
2004-10-31,181089.84937069076
2004-11-30,182819.63291599206
2004-12-31,184477.06942594278
2005-01-31,185992.00851844487
2005-02-28,186950.67047299724
2005-03-31,188547.28001157532
2005-04-30,190401.86498474638
2005-05-31,192338.65568537012
2005-06-30,194316.4684142875
2005-07-31,196301.70998605795
2005-08-31,198341.25383492847
2005-09-30,200394.1317735471
2005-10-31,203107.7593596859
2005-11-30,204143.82067045599
2005-12-31,205738.57003833578
2006-01-31,207103.35442986357
2006-02-28,208386.21744151262
2006-03-31,209690.28667391502
2006-04-30,211082.79399316132
2006-05-31,212415.51260960754
2006-06-30,213583.25363668316
2006-07-31,214490.6952719108
2006-08-31,215223.71782216054
2006-09-30,215740.4684706746
2006-10-31,216081.55066489943
2006-11-30,216266.16894930464
2006-12-31,216391.8875707155
2007-01-31,216508.5595261701
2007-02-28,216644.1210288838
2007-03-31,216811.03710687478
2007-04-30,217002.52566676892
2007-05-31,217125.58783883147
2007-06-30,217094.75408542837
2007-07-31,216868.99528367375
2007-08-31,216595.98760707967
2007-09-30,216232.34618112698
2007-10-31,215837.16177219365
2007-11-30,215267.03178023605
2007-12-31,214609.07706978984
2008-01-31,213811.63817650796
2008-02-29,212876.8042016888
2008-03-31,211830.45496637083
2008-04-30,210663.49428305426
2008-05-31,209462.19652941197
2008-06-30,208165.4071012058
2008-07-31,206710.44054570794
2008-08-31,205080.387918224
2008-09-30,203405.16622945544
2008-10-31,203811.80796857894
2008-11-30,200241.11039031233
2008-12-31,198682.93677010364
2009-01-31,196497.6733101061
2009-02-28,195243.5350914439
2009-03-31,194039.50814175466
2009-04-30,192827.0788634556
2009-05-31,191556.91647846633
2009-06-30,190373.00959956617
2009-07-31,189255.41787691315
2009-08-31,188276.12733928932
2009-09-30,187337.4041435661
2009-10-31,186532.82196787128
2009-11-30,185960.84182666588
2009-12-31,185681.8615746624
2010-01-31,185596.20796903814
2010-02-28,185571.89580050306
2010-03-31,185580.83107720182
2010-04-30,185703.182408268
2010-05-31,185825.6447882288
2010-06-30,185812.05885502705
2010-07-31,185448.09308112325
2010-08-31,184840.66713364617
2010-09-30,184005.67116936258
2010-10-31,183081.80234266777
2010-11-30,182102.59368503827
2010-12-31,181196.69459184463
2011-01-31,180381.96196379073
2011-02-28,179658.85282568051
2011-03-31,178965.43581382956
2011-04-30,178209.16651996828
2011-05-31,177393.82252298325
2011-06-30,176616.8402766641
2011-07-31,175958.04139092762
2011-08-31,175376.92646198435
2011-09-30,174821.23265023917
2011-10-31,174272.63119762897
2011-11-30,173775.3666458187
2011-12-31,173350.91452286977
2012-01-31,173077.37460808744
2012-02-29,173009.13416403678
2012-03-31,173169.34570604496
2012-04-30,173475.14560572297
2012-05-31,174525.99765074337
2012-06-30,174609.32020638027
2012-07-31,175360.02376987858
2012-08-31,176010.24209832476
2012-09-30,176729.18097975905
2012-10-31,177428.35396762006
2012-11-30,178225.92309363023
2012-12-31,178986.06437209153
2013-01-31,179799.0568459182
2013-02-28,180591.48354146295
2013-03-31,181380.7579815878
2013-04-30,182265.8557386805
2013-05-31,183379.85970747122
2013-06-30,184698.20615888957
2013-07-31,185950.3409853244
2013-08-31,187212.391151101
2013-09-30,188415.3580618489
2013-10-31,189693.43779831278
2013-11-30,190662.80823333858
2013-12-31,191436.85252973958
2014-01-31,192062.7444335036
